**************************************************
START LOG TRACE: 14/10/2021 06:28:37.783
**************************************************

14/10/2021 06:28:37.799: Start update interface for slab 148109.

14/10/2021 06:28:38.485: 
|Order Code                                        |Piece Code                                        |Waste|Small|Last |Pick X  |Pick Y  |Pick R  |Pick L  |Pick W  |Pos X   |Pos Y   |Rot     |Len     |Width   |Thick   |Slab Code         |Unique ID                                         |
|                                       OFF00090787|                                   _SP00019867_701|    0|    0|    0|-3146.54|  923.04|    0.00|  499.80|  174.93|-3146.54|  923.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611591|
|                                       OFF00090787|                                   _SP00019867_702|    0|    0|    0|-3146.54| 1102.04|    0.00|  499.80|  174.93|-3146.54| 1102.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611592|
|                                       OFF00090787|                                   _SP00019867_703|    0|    0|    0|-3146.54| 1281.04|    0.00|  499.80|  174.93|-3146.54| 1281.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611593|
|                                       OFF00090787|                                   _SP00019867_704|    0|    0|    0|-3146.54| 1460.04|    0.00|  499.80|  174.93|-3146.54| 1460.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611594|
|                                       OFF00090787|                                   _SP00019867_705|    0|    0|    0|-3146.54| 1639.04|    0.00|  499.80|  174.93|-3146.54| 1639.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611595|
|                                       OFF00090787|                                   _SP00019867_706|    0|    0|    0|-3146.54| 1818.04|    0.00|  499.80|  174.93|-3146.54| 1818.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611596|
|                                       OFF00090787|                                   _SP00019867_707|    0|    0|    0|-3146.54| 1997.04|    0.00|  499.80|  174.93|-3146.54| 1997.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611597|
|                                       OFF00090787|                                   _SP00019867_708|    0|    0|    0|-3146.54| 2176.04|    0.00|  499.80|  174.93|-3146.54| 2176.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611598|
|                                       OFF00090787|                                   _SP00019867_709|    0|    0|    0|-3146.54| 2355.04|    0.00|  499.80|  174.93|-3146.54| 2355.04|  180.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611599|
|                                       OFF00090787|                                   _SP00019867_710|    0|    0|    0|-2610.54|  923.04|    0.00|  499.80|  174.93|-2610.54|  923.04|    0.00|  532.00|  175.00|   15.00|SLAB00000000041916|                                            611600|
